 ,Problem, , ,Constructive algorithm, ,Local Search, ,GRASP, ,Known best solution or upper bound
Name,|V| or n,|E| or m,Randomized-1,Greedy-1,Semi-greedy-1,No. of iterations,Best Value,No of iterations,Best Value, ,
g31.rud,2000,19990,-38,2679,2466,205,2834,50,2916,Not Available
g32.rud,2000,4000,10,1216,1106,26,1159,10,1238,1560
g32.rud,2000,4000,13,1216,1092,24,1144,20,1230,1560
g32.rud,2000,4000,8,1216,1114,22,1161,50,1228,1560
g33.rud,2000,4000,-18,1228,1082,26,1137,10,1218,1537
g33.rud,2000,4000,-13,1228,1052,32,1118,20,1228,1537
g33.rud,2000,4000,-12,1228,1069,27,1126,50,1224,1537
g34.rud,2000,4000,-17,1214,1049,33,1118,10,1214,1541
g34.rud,2000,4000,-19,1214,1033,33,1102,20,1224,1541
g34.rud,2000,4000,-20,1214,1071,28,1129,50,1220,1541
g35.rud,2000,11778,5896,7280,7357,64,7436,10,7464,8000
g35.rud,2000,11778,5873,7280,7361,55,7434,20,7460,8000
g35.rud,2000,11778,5893,7280,7360,58,7437,50,7470,8000
g36.rud,2000,11766,5857,7301,7369,55,7437,10,7463,7996
g36.rud,2000,11766,5899,7301,7353,63,7435,20,7471,7996
g36.rud,2000,11766,5896,7301,7350,58,7425,50,7484,7996
g37.rud,2000,11785,5919,7317,7359,61,7437,10,7473,8009
g37.rud,2000,11785,5894,7317,7350,68,7440,20,7468,8009
g37.rud,2000,11785,5885,7317,7353,66,7439,50,7480,8009
g38.rud,2000,11779,5920,7325,7348,63,7429,10,7459,Not Available
g38.rud,2000,11779,5880,7325,7344,68,7434,20,7468,Not Available
g38.rud,2000,11779,5896,7325,7362,61,7442,50,7496,Not Available
g39.rud,2000,11778,6,2086,1853,135,2081,10,2128,Not Available
g39.rud,2000,11778,13,2086,1738,181,2043,20,2142,Not Available
g39.rud,2000,11778,11,2086,1821,145,2059,50,2187,Not Available
g40.rud,2000,11766,-6,1976,1730,166,2011,10,2078,Not Available
g40.rud,2000,11766,-23,1976,1858,124,2058,20,2153,Not Available
g40.rud,2000,11766,-57,1976,1806,139,2037,50,2120,Not Available
g41.rud,2000,11785,-8,2012,1715,172,2013,10,2121,Not Available
g41.rud,2000,11785,-15,2012,1768,160,2038,20,2136,Not Available
g41.rud,2000,11785,-3,2012,1802,147,2046,50,2152,Not Available
g42.rud,2000,11779,52,2036,1914,125,2120,10,2214,Not Available
g42.rud,2000,11779,42,2036,1831,167,2112,20,2174,Not Available
g42.rud,2000,11779,62,2036,1878,146,2121,50,2234,Not Available
g43.rud,1000,9990,4991,6383,6313,70,6437,10,6468,7027
g43.rud,1000,9990,5000,6383,6271,87,6425,20,6496,7027
g43.rud,1000,9990,4999,6383,6309,74,6440,50,6502,7027
g44.rud,1000,9990,5011,6349,6299,81,6438,10,6477,7022
g44.rud,1000,9990,5003,6349,6325,70,6445,20,6497,7022
g44.rud,1000,9990,4990,6349,6297,80,6436,50,6508,7022
g45.rud,1000,9990,4990,6375,6333,64,6441,10,6479,7020
g45.rud,1000,9990,4999,6375,6305,76,6437,20,6473,7020
g45.rud,1000,9990,4998,6375,6315,71,6441,50,6513,7020
g46.rud,1000,9990,4982,6403,6272,89,6431,10,6490,Not Available
g46.rud,1000,9990,4971,6403,6297,75,6428,20,6494,Not Available
g46.rud,1000,9990,4989,6403,6290,78,6430,50,6501,Not Available
g47.rud,1000,9990,4998,6383,6324,77,6458,10,6535,Not Available
g47.rud,1000,9990,4997,6383,6327,71,6450,20,6498,Not Available
g47.rud,1000,9990,4992,6383,6304,79,6441,50,6519,Not Available
g48.rud,3000,6000,2986,6000,6000,0,6000,10,6000,6000
g48.rud,3000,6000,3006,6000,6000,0,6000,20,6000,6000
g48.rud,3000,6000,2993,6000,6000,0,6000,50,6000,6000
g49.rud,3000,6000,3002,6000,6000,0,6000,10,6000,6000
g49.rud,3000,6000,3011,6000,6000,0,6000,20,6000,6000
g49.rud,3000,6000,2998,6000,6000,0,6000,50,6000,6000
g50.rud,3000,6000,2980,5880,5863,1,5865,10,5880,5988
g50.rud,3000,6000,2992,5880,5858,1,5861,20,5880,5988
g50.rud,3000,6000,3000,5880,5855,1,5858,50,5880,5988
g51.rud,1000,5909,2942,3650,3688,31,3727,10,3743,Not Available
g51.rud,1000,5909,2959,3650,3684,34,3727,20,3754,Not Available
g51.rud,1000,5909,2947,3650,3688,31,3727,50,3747,Not Available
g52.rud,1000,5916,2967,3670,3696,30,3736,10,3750,Not Available
g52.rud,1000,5916,2955,3670,3688,33,3731,20,3763,Not Available
g52.rud,1000,5916,2956,3670,3685,32,3726,50,3764,Not Available
g53.rud,1000,5914,2950,3663,3675,35,3721,10,3734,Not Available
g53.rud,1000,5914,2970,3663,3683,33,3727,20,3748,Not Available
g53.rud,1000,5914,2955,3663,3687,30,3726,50,3758,Not Available
g54.rud,1000,5916,2958,3639,3678,33,3721,10,3733,Not Available
g54.rud,1000,5916,2961,3639,3678,34,3724,20,3750,Not Available
g54.rud,1000,5916,2954,3639,3686,31,3726,50,3754,Not Available
